x,L,u,e,tau_xx,tau_yy,tau_zz
0.28072,0.91875,1.5587,0.6983,0.88946,-0.16496,-0.66924
0.28172,0.91846,1.5612,0.69741,0.89093,-0.16524,-0.67024
0.28272,0.91818,1.5637,0.69652,0.89241,-0.16553,-0.67125
0.28372,0.91789,1.5661,0.69563,0.89388,-0.16582,-0.67226
0.28472,0.91761,1.5686,0.69474,0.89536,-0.16611,-0.67326
0.28571,0.91733,1.5711,0.69385,0.89685,-0.1664,-0.67428
0.28671,0.91704,1.5736,0.69296,0.89833,-0.16669,-0.67529
0.28771,0.91676,1.5761,0.69208,0.89982,-0.16698,-0.6763
0.28871,0.91647,1.5786,0.69119,0.90131,-0.16728,-0.67732
0.28971,0.91619,1.5811,0.69031,0.9028,-0.16757,-0.67834
0.29071,0.91591,1.5837,0.68943,0.9043,-0.16786,-0.67935
0.29171,0.91562,1.5862,0.68855,0.9058,-0.16815,-0.68037
0.29271,0.91534,1.5887,0.68767,0.9073,-0.16845,-0.6814
0.29371,0.91506,1.5912,0.68679,0.9088,-0.16874,-0.68242
0.29471,0.91477,1.5937,0.68591,0.91031,-0.16904,-0.68344
0.2957,0.91449,1.5963,0.68503,0.91181,-0.16934,-0.68447
0.2967,0.9142,1.5988,0.68416,0.91332,-0.16963,-0.6855
0.2977,0.91392,1.6014,0.68328,0.91484,-0.16993,-0.68653
0.2987,0.91364,1.6039,0.68241,0.91635,-0.17023,-0.68756
0.2997,0.91335,1.6065,0.68154,0.91787,-0.17053,-0.68859
0.3007,0.91307,1.609,0.68067,0.91939,-0.17082,-0.68963
0.3017,0.91279,1.6116,0.6798,0.92092,-0.17112,-0.69066
0.3027,0.9125,1.6141,0.67893,0.92244,-0.17142,-0.6917
0.3037,0.91222,1.6167,0.67806,0.92397,-0.17172,-0.69274
0.3047,0.91194,1.6193,0.67719,0.9255,-0.17203,-0.69378
0.30569,0.91165,1.6219,0.67633,0.92704,-0.17233,-0.69482
0.30669,0.91137,1.6244,0.67546,0.92857,-0.17263,-0.69587
0.30769,0.91108,1.627,0.6746,0.93011,-0.17293,-0.69691
0.30869,0.9108,1.6296,0.67374,0.93165,-0.17324,-0.69796
0.30969,0.91052,1.6322,0.67288,0.9332,-0.17354,-0.69901
0.31069,0.91023,1.6348,0.67202,0.93474,-0.17385,-0.70006
0.31169,0.90995,1.6374,0.67116,0.93629,-0.17416,-0.70111
0.31269,0.90967,1.64,0.6703,0.93784,-0.17446,-0.70217
0.31369,0.90938,1.6426,0.66944,0.9394,-0.17477,-0.70322
0.31469,0.9091,1.6452,0.66859,0.94096,-0.17508,-0.70428
0.31568,0.90882,1.6479,0.66773,0.94252,-0.17539,-0.70534
0.31668,0.90853,1.6505,0.66688,0.94408,-0.1757,-0.7064
0.31768,0.90825,1.6531,0.66603,0.94564,-0.17601,-0.70746
0.31868,0.90797,1.6557,0.66518,0.94721,-0.17632,-0.70853
0.31968,0.90768,1.6584,0.66433,0.94878,-0.17663,-0.7096
0.32068,0.9074,1.661,0.66348,0.95035,-0.17694,-0.71066
